tag,summary
2,at approximately may employee arrow asphalt paving working project pave chip seal sections private airstrip used crop dusting service biggs ca he operating blower remove loose gravel dust debris asphalt project neared completion employee center runway working alone approximately feet end led plane loading area hangars a pilot flying airplane schweizer aircraft corporation model b approached airstrip opposite end landed as pilot taxied plane toward hangar plane propeller struck employee head decapitated this fatality reported sacramento district office butte county sheriff department may the employer failed report event investigation determined plane design tail dragger limited pilot visibility looking forward visibility engine compartment nose taxiing preliminary reports indicated spotters employee wearing safety vest may hearing impaired
2,employee standing skid helicopter installing fiber optic cable top structure used support kv power transmission lines the tail rotor helicopter contacted fiber optic cable causing aircraft crash employee killed helicopter pilot injured
2,a power line worker tied transmission tower install rigging installation overhead power line he gained access tower helicopter as helicopter pulled away rotor blade hit tower shrapnel broken blade struck employee killing
2,at approximately september employee male construction laborer dan hoe excavating verifying grade elevations work operation widening existing roadway employee working behind skid steer loader skid steer loader backed crushed employee killed event
2,on may employee male foremen foundation pile inc working five freeway expansion project norwalk california a forklift driver operating pettybone super serial number model moving piles upon setting piles forklift driver began turn around tight space as forklift backed operator notice employee another coworker standing behind forklift as forklift backed pinned employee leg pile causing unspecified laceration injury employee hospitalized result event
2,at approximately may employee working construct commercial chicken coop he laying pieces coop bobcat skid loader reverse gear struck the bobcat skids ran he pronounced dead scene the report specify injuries the employee employed henry graber construction llc bryant in building equipment installation contractor
2,on february employee struck vehicle backing work zone the vehicle obstructed rear view operated without backup alarm the employee suffered unspecified injuries
2,at approximately february employee working employer fire water restoration contracting company specializes restoration commercial residential buildings damaged fire water employee working laborer work company new shop employee coworker working together set truck remove loads dirt shop coworker driving service truck trailer would used load dirt employee working ground area loading dock checking loading ramp coworker moved truck reverse without making sure employee clear area backing the truck backed employee trailer pinned loading dock bumper employee suffered multiple unspecified injuries hospitalized total four days
2,at approximately october employees working g s paving paved portion parking lot employee got wheeler he drove truck forward backward while truck backed employee retrieving tool run suffering fatal injuries no back alarm audible distance feet work there flaggers direct vehicle
2,on september employee working laborer highway milling project employee assigned operate jackhammer needed milling machine conducted passes bridge employee also assigned task maintaining traffic pattern equipment the traffic pattern set worksite foreman operator employee working coordination connecticut state police once traffic pattern established milling machine sweeper bobcat machine trimming machine moved closed portion southbound route highway the plan work evening mill pavement bridge surface zero north side bridge inches bridge surface back zero south side bridge the sweeper operator positioned sweeper behind milling machine waited milling machine conduct first pass bridge the operator drove water truck traffic pattern parked truck the operator accessed trimming machine waited milling machine conduct first pass bridge there also several dump trucks site lined south bridge along east side highway the milling machine conducted first pass bridge along far east side bridge north south direction direction traffic along southbound side highway the first pass bridge full milling pass measuring feet inches wide the sweeper ran operated behind milling machine the milling machine backed repositioned north side bridge perform second pass west first pass while milling machine backed repositioned sweeper also backed onto north side bridge the second pass approximately feet inches wide overlap while milling machine performing second pass bridge trimming machine operating south north direction along far east side bridge milling machine conducted first pass bridge order mill edge bridge near concrete retaining wall bridge the sweeper followed milling machine bridge second pass bridge the milling machine back repositioned north side bridge perform third pass bridge west second pass at time sweeper machine full material pulled farther north bridge prepare dump dump truck positioned north side bridge while backing milling machine bridge conduct fourth pass milling machine ground man located west side milling machine asked employee needed traffic cones moved farther west slightly driving lane highway the milling machine ground man told employee move traffic cones since going complete half pass employee located east side machine asked milling machine operator traffic cones moved the milling machine operator also informed employee move traffic cones the milling machine operator milling machine ground man continued back milling machine approximately another feet north side bridge next dump truck line the center trucking vehicle parked along far east side passing lane route within traffic pattern the driver vehicle third dump truck left site center trucking driver looked around truck got back
2,on august employee laborer assigned paving crew working new roadway leading bridge he walking across new roadway enter another area jobsite a highway motor vehicle equipped alarm backing new roadway highway employee struck killed vehicle
2,at approximately july employee working raker road repaving project employee leaned scraped rubber asphalt hma rake trailer truck backed position front paving machine the rear tire truck trailer caught employee foot dragged employee trailer employee sustained unspecified multiple fractures
2,at approximately june employee blue ridge cable performing landscape maintenance commercial building property he operating hillside along us hwy mouthcard a car ran highway across shoulder embankment employee working approximately feet roadway the vehicle struck killed employee the subsequent investigation determined highway location extreme grade situated sharp curve the driver vehicle alleged driving influence
2,at approximately august employee flagger directing traffic wearing appropriate personal protective equipment available lighting traffic signs cones setup worksite northbound traffic diverted southbound lane as directed traffic pickup truck traveling southbound failed stop when last vehicle traveling northbound moved pickup truck swerved struck employee died traumatic injuries collision the pickup fled scene continued southbound stopped county sheriff department the driver truck tested positive alcohol arrested
2,at around november employee villager construction coworker using asphalt milling machine wirtgen model number grind existing asphalt interstate railroad bridge overpass employee standing ground checking depth cut asphalt using handheld pendant attached machine the pedant could stretch ten ft this allowed employee walk back forth checking cut the operator top milling machine controlling operation machine ensuring milling machine dump truck driven second coworker worked independent trucking service kept safe working distance a different company protective services psi responsible traffic control job site shut inside lane three lane section interstate work could conducted lane the entire work zone approximately two miles long start finish employee operator milling machine completed milling four sections eight total passes inside lane bridge overpasses waiting psi shut center lane dual lane shut inside center lanes interstate completed around employee milling machine operator milled two sections four total passes center lane once sides overpass milled approximately ft side employee operator milling machine moved milling machine interstate ft railroad overpass began setting mill center lane sections the truck driver backed truck position remained truck move truck slowly forward milling took place employee positioned milling machine concrete median dividers inside coned work zone the lanes travel approximately ft wide milling machine made two passes since cut seven ft wide section cover entire lane employee standing approximately three ft far inside lane ground milling machine interior median wall inside approved traffic control set approximately midway machine ft traffic control devices flow traffic the milling machine approximately nine ft wide ft long operating employee guarded machine flow traffic approximately five ten minutes first pass milling machine operator noticed lights hitting reflectors inside wall turned briefly see vehicle coming the operator thought project manager coming check status project then operator realized oncoming vehicle equipped strobe required work zones the operator turned yelled employee run safety chevrolet tahoe came inside lane employee standing the driver tahoe continued traveling far inside lane work zone employee struck thrown ft originally standing the vehicle moving approximately mph per hour as transferred hospital emergency personnel employee treated severe trauma lacerations fractures contusions body head employee pronounced dead hospital the driver vehicle disregarded traffic control set warning lights rear milling machine cone spacing ft the construction work zone set correctly signage cone spacing tapering attenuators lighting traffic control set approved mutcd type tr
2,at approximately august employee robert bothman working behind parked dump truck he working coworker independent contractor repairing asphalt pavement the truck reportedly parked pathway near top small hill connected track field area main campus school working the driver truck reported parked truck set brake exited vehicle rear truck group workers repairing asphalt pavement then truck began roll backwards hill employee unable get path truck struck vehicle all witnesses reported employee obviously dead injuries sustained based upon evidence gathered investigation employer ensure vehicle positive control times ensuring parking brake set wheels chocked otherwise effectively prevented movement effective mechanical means
2,on january employee carpenter employed chiaramonte construction company operating power buggy transport stones residential housing construction site dumping area the dumping area located approximately feet away fire department property the employee stood operating platform power buggy drove buggy approximately feet public county roadway the buggy catapulted employee approximately feet air the employee landed asphalt culvert along right side roadway front fire department fire department personnel witnessed responded event the employee flown life flight hospital shock trauma facility he hospitalized treated head trauma lacerations scalp required five stitches torn tendon left knee required surgery investigation determined power buggy operated slope public county road whereas operator manual permit buggy driven public roadways the manual specified maximum buggy speed mph operator traveling approximately mph the operator hauling large rocks activity permitted buggy manufacturer the operator manual states buggy intended haul material the employee trained safe operation power buggy
2,on november employee male employee male maryland department transportation part highway maintenance crew assigned replace highway speed limit sign alongside outer loop near putty hill avenue overpass the crew parked work truck right shoulder beside lane vehicle parked approximately minutes prior incident the truck equipped amber light mounted top work truck time incident the work truck however equipped traffic attenuator there advance traffic warning signs cone tapers place warn motorists shoulder closure effort made divert traffic away shoulder closure per mutcd requirements in addition shadow vehicle equipped vehicle mounted impact attenuator parked behind work truck employee employee standing shoulder rear work truck employee standing rear work truck holding base sign post suddenly motorist struck employee throwing approximately ft onto earthen embankment striking employee employee crushed death rear work truck front bumper motorist car according maryland state police driver adjusting driver side mirror knocked loose mechanical brush carwash short incident occurred employee treated musculoskeletal injuries emergency room university md shock trauma center released day
2,an incident occurred employee crew temporarily stopped bridge employee driver lead truck gotten pick large trash could picked sweeper truck clean weep holes bridge rebar employee walked half way bridge shoulder cleaning weep holes picking trash the drivers sweeper truck dump truck remained driver seat respective trucks there automobile right hand lane traffic swerved onto shoulder bridge passing three vehicles the automobile hit barrier wall struck employee dragging approximately shoulder road it determined driver automobile intoxicated employee pronounced dead scene due multiple body trauma caused vehicular impact
2,at approximately december employee working interior carpenter one several custom homes construction helena ca at stopped carpentry work gone move genie boom lift home driveway lower area property he machine scheduled picked later day the worker riding boom basket lift went paved driveway the driveway approximately percent grade the boom basket fully lowered boom position he machine running forward direction facing downhill basket trailing as moved hill machine began gain speed when tried stop machine went skid he intentionally steered machine tree order bring stop when machine hit tree rolled came rest across driveway the worker secured basket means physically held basket railing hit ground beside driveway he thrown guardrail sustained spinal injuries his back strains sprains required treatment hospitalization hours the injured employee supervisor onsite immediate vicinity time accident at approximately december santa rosa district office received timely notification employer on december initiated investigation
2,employee working flagger construction contractor burying fiber optic conduit she removing traffic cone order traffic move construction zone employee still stop sign facing driver private vehicle driver moved forward unexpectedly the car struck employee throwing ditch employee received severe contusions legs she hospitalized observation due leg injuries complaint back pain the driver vehicle claimed see employee side highway
2,on september employee tehama county public works department helping coworker unload backhoe tilt bed trailer attached dump truck via pintle latch employee coworker unbound backhoe trailer stored binders the coworker entered backhoe cab employee jumped trailer stood approximately six ft trailer left side the coworker received thumbs gesture employee coworker interpreted clear the coworker looked backward right shoulder drove backhoe trailer after parking trailer coworker walked back tilted trailer aid returning trailer bed horizontal position it point coworker saw employee lying left side front trailer back dump truck employee pronounced dead scene loss blood head
2,on october employee hentges sons operating backhoe excavator dredging vegetation sedimentation pond used collect runoff airport the pond covered approximately acres it deep the pond top water remaining depth consisted cattail bog decomposing vegetation employee operating backhoe top wood mats used support backhoe prevent sinking pond he keeping three mats underneath backhoe moving one mat front moved forward the mat farthest rear rolled causing backhoe begin sliding water employee attempted rotate backhoe cab stop machine sliding he found crushed death pinned top cab mat minnesota osha investigated proposed two serious citations
2,on september employee operating backhoe newly installed closed flat highway for reason backhoe veered roadway rolled landed ditch employee partially ejected backhoe cab pinned cab employee killed upon investigation determined backhoe rear digging arm center safety pin lock arm still holding bracket cab windows doors broken glass missing seat belt inside cab functional utilized
2,on november employee walking behind construction backhoe street employee walked path travel driver backhoe backed employee struck backhoe boom area hospitalized contusion
2,on july employee standing next building backhoe drove past proceeded drive curb the backhoe began tip one side causing bucket jerk employee caught building backhoe bucket employee killed
2,on september employee digging dirt road at time coworker backing dump truck the dump truck traveling reverse miles per hour functioning back alarm employee struck dump truck rolled head emergency medical service called employee pronounced dead scene
2,on august pedestrian walking grounds community college she former student school as walked struck wheel loader backing the construction equipment ran causing traumatic injuries killed
2,on august employee using shovel clean along curb line preparing asphalt he walked behind dump truck backing run
2,on evening october employee male construction equipment operator working highway road crew while moving road safety drums grassy median center line highway struck killed driver private owned vehicle swerved erratically across safety barrels the driver apprehended placed arrest dui manslaughter driving suspended license failure drive single lane leaving scene accident involving fatality
2,on november employee employee coworker preparing conduct final tension check cable barrier system they arrived jobsite company truck pulled road center median as employee employee exited truck grabbed calibrator device used check cable tension without warning ford truck hauling coil aluminum gooseneck trailer swerved left lane center median the truck contacted cable barrier system continued travel south struck employees checking cable tension after truck struck employees continued feet feet coming stop center median employees killed
2,on may employee foreman street light division employee coworkers employed sumter utilities removing broken aluminum light poles morrison huger ravenel bridge charleston sc these light poles bolted onto side bridge broken fallen roadway struck accident earlier day the weather warm clear temperature degrees the work crew started removing poles approximately police blocked section road working they three poles remove location they used freightliner altec digger derrick work body south carolina license plate number boom extended fmcsa inspected december equipment number usdot the boom digger derrick used pull damaged poles place rack truck employee subsequently interviewed stated trained always secure boom lowering completely auger stow bracket moving truck however occasion left boom elevated approximately feet unknown length extension coworkers could strap poles rack employee said could remember make sure boom secured resting auger stow bracket getting operating station employee said training received taught make sure boom secured moving truck employee employee digger derrick truck coworker bucket truck coworker another bucket truck coworker pickup truck they began proceed bridge travelling speed approximately mph suddenly boom digger derrick truck rose struck meeting street sign feet directly roadway measured approximately feet long feet high the boom straightened front digger derrick truck reared the digger derrick truck fell right passenger side slid feet side bridge then boom swung around right pulled digger derrick truck bridge the digger derrick truck came rear fell feet ground left driver side coworkers stopped trucks looked bridge rail coworker saw movement truck phoned emergency services then three coworkers made way accident site when arrived police emergency medical service onsite coworkers unable approach truck employees transported hospital admitted treated the initial report injuries indicated employee two fractured ribs fluid chest well chipped bone shoulder employee cuts bruises face strains bruises back shoulder leg both employees required extensive surgeries time report returned work
2,at second week construction ft deep third water tunnel new york city employees brakemen train unloaded concrete load construction site while returning loading area train collided oncoming fully loaded train approximately ft mark passing california switching device ft employee removed long island college hospital pronounced dead employee hospitalized bellevue fractured leg employee operator train suffered minor knee injury require hospitalization this job done two phases first consisted digging debris removal second consisted pouring concrete the tunnel approximately ft long single lane track majority distance there two areas approximately ft long two lanes areas ft mark ft mark used trains pass one another the method used control train traffic near double lane areas california switching device
2,at approximately september employee foreman diponio contracting llc coworkers began work activities bridge rehabilitation project employee working alone moving guardrail section onto bridge one end guardrail crossed concrete road barrier separated work area active traffic a passing bus struck guardrail the impact propelled employee outrigger mobile crane set bridge employee struck head outrigger he killed
2,on may employee three coworkers installing signs highway truck changed several lanes entered work area the truck struck employee knocking road bridge rail he fell approximately ft died
2,on december employee engaged grading activities hill driveway placed entrance new strip mall he standing near approximately ft edge grade hill as dozer approached rolled edge struck pinning dozer ground employee sustained crushing injuries killed
2,on december employee owner company specialized building log homes performing exterior carpentry residential building site he operating rough terrain forklift he lost control forklift rolled steep incline employee thrown forklift killed
2,at approximately october employee cement mason d g cement company removing replacing deteriorated concrete sidewalks driveway sections employee going direct homeowner homeowner backed automobile driveway employee went coworker move employee back automobile driver raced backwards striking employee dragging approximately feet the automobile hit boulder became airborne time employee dislodged beneath vehicle employee unresponsive later died injuries received
2,on night september employee synergy project management involved highway paving operation he assigned remove temporary traffic control markers seated makeshift chair tailgate flatbed truck no temporary traffic controls place an attenuator truck following flatbed truck protection the attenuator truck failed stop flatbed truck striking employee emergency services called employee transported hospital he admitted treated amputation legs
2,on july employee work truck eating lunch the truck parked outside fence near edge road right side away opening gate a coworker supervisor saw concrete truck approaching south the concrete truck made left turn construction site the truck osh kosh serial number company truck number the coworker went employee truck said need move forklift parked driveway right side parallel fence front end facing toward opening gate the rear forklift gehl model number model number product id number facing road ran perpendicular driveway the coworker stated employee thought truck could clear forklift truck employee left rear corner forklift the coworker supervisor motioned hands concrete truck driver move forward the concrete truck moved forward employee moved back operators cab the concrete truck moving forward coworker moved left rear concrete truck at time coworker supervisor see employee heard employee make noise went back around truck the coworker saw concrete truck driver made turn avoid curb employee struck chest became pinned rear stabilizing tire tag axle forklift the coworker supervisor yelled concrete truck driver stop driver kept going the coworker supervisor ran concrete truck driver cab knocked door get stop the driver stopped exited cab went around truck see happened the concrete truck driver got back truck made sharp right turn swung rear concrete truck tag axle away forklift freeing employee the employee wearing hard hat reflective safety vest steel toe shoes safety glasses time employee collapsed another coworker called emergency medical service employee transported musc hospital pronounced dead
2,on june employee preparing pump load liquid asphalt one parked truck another the trucks parked incline the parking brake set truck there wheel chocks behind wheels truck employee operating the truck rolled backwards employee tried get driver cab stop the truck pinned employee two trucks the employee taken hospital employee died injuries
2,at approximately july employee mechanic johns construction excavation working flatbed truck construction site pullman wa truck began roll he crushed differential killed the truck rolled drive line removed at time report written accident remained investigation
2,employee coworker removing traffic control devices high speed lane six lane road arrow signboard towing struck another vehicle the arrow signboard rolled employee legs subsequently died blood clot the arrow signboard operating time accident warning device use emergency flasher workers vehicle
2,on september employee flagger iowa erosion control turning vertical sign stop slow based upon location pilot car running worker location second coworker flagger located approximately one mile away a came hill south employee while traveling brakes locked leaving residue roadway then swerved miss car employee sign area struck employee employee dragged rolled approximately ft north body came rest the veered ditch area north edge street proceeded north the initial investigation revealed warning signs posted along highway cones markings present employee wearing high visibility employee killed incident
2,the hot car locomotive was traveling east on the hot car track from the coke oven to the squelch tank the locomotive struck two employees who had been working on the railroad bed employee was knocked away from the track but employee was run over and killed
2,on february employee working side highway preventative maintenance call box vehicle struck employee work truck parked side highway employee the employee severely injured receiving broken collar bone several fractures one legs
2,on october employee laborer employee electrician employed town amherst ny highway department suspended bucket personnel carrier aerial lift truck they installation work along road their truck struck tractor trailer both employees thrown bucket they fell approximately feet both transported hospital admitted treated serious unspecified multiple fractures
2,at approximately pm august employee jfc construction driving aerial device genie slowly steep degrees part private asphalt road he felt sliding toward left side road going fast steered unit toward hill embankment prepared jump the unit hit embankment turned employee trapped boom body unit as result employee sustained fractures three ribs spinal column skull concussions employee helped employee feet behind truck peterbuilt he called er assistance
2,on october employee working part crew concrete mixer truck the truck transporting approximately yards concrete aggregate mixture private road the truck navigated sharp turn road road crosses small stream the truck overturned killing employee
2,on september employee working asphalt road crew supervisor operating road construction site highway having completed cut newly laid asphalt driving tractor grass parallel highway there steep incline side highway employee lost control possibly attempting turn tractor it believed tractor slid incline along path perpendicular highway the tractor stopped encountered concrete culvert employee sustained severe trauma leg chest head struck either tractor concrete culvert he killed
2,on april employee cement white eagle concrete assisting coworker supervisor moving chain link construction fence feet clear way another pump truck brought replace pump truck working the supervisor told cement truck driver get truck prepare move according cement truck driver got truck saw supervisor located front truck left coworker located front right side truck employee located rear right side employee coworker front right side cement truck started pulling fence move according cement truck drive motioned supervisor front start moving truck as moved forward cement truck driver heard someone yelling it employee rear right side cement truck the truck rolled heels employee feet employee knocked coworker supervisor came help employee employee hospitalized treated fracture left foot toes ankle employee hospitalized three days without surgery employee wanted go doctor closer residence later outpatient surgery no violation determined
2,at march two employees delta construction incorporated grapevine texas sitting concrete slab wall taking morning break they struck catering truck backing leave area serving construction workers the catering truck owned operated united caterers located grand prairie texas the accident occurred balfour beatty construction site located plano texas both employees taken plano medical center employee later died result injuries employee remained critical condition
2,on february employee delivering cement residential construction site the employee used path witnesses say typical path cement trucks coworkers stated typical path cement trucks enter site north continue south coworkers stated observed cement truck tipping ran help employee they stated arrived employee shaking unresponsive both coworker stated notice driver wearing seatbelt they stated want remove employee cab want injure the coworker reached cab turned engine turning ignition position they waited emergency services arrive emergency services pulled employee cab gave necessary medical aid the employee transported umc hospital released day minor injuries included bruised ribs the employee wearing seat belt
2,employee operating case crawler tractor spreading rock logging road rehab project slopes flat moderate less ten degrees area operation a driver scene noted absence tractor track marks going edge road logged area approximately ft slopes exceeding sixty degrees he went tractor found employee unconscious severely injured knocking around inside rops employee died
2,on november employee male a w contractors working ground struck tracked excavator the excavator traveling job site employee struck run tracks killed event the operator see employee employee wearing high visibility warning garment employee killed event suffered unspecified bodily injuries
2,at approximately september employee demo unlimited conducting flagging activity residential building demolition project employer contracted he directing truckers various locations property dump dirt employee directed one drivers toward location as employee walked get drink water rear trailer vehicle swerved struck emergency services called employee transported hospital admitted treated multiple broken ribs ruptured spleen fractured left shoulder blade he remained hospitalized approximately two months at approximately september employer notified event the subsequent investigation revealed employee employed demo unlimited approximately five years construction laborer
2,on july employee construction worker back gmc diesel truck securing pipe come loose the truck stopped street intersection when light changed green truck driver pulled forward get turning lane without communicating employee he fell truck sustained injuries required hospitalization
2,at approximately october diesel truck traveling south high rate speed passing lane three lane highway utility truck pulling trailer loaded trencher the utility truck control moved median struck rear truck the truck came around struck utility truck third time side the truck continued south passing lane crossed median mile initial accident struck employees construction workers worked wide median from truck traveled across northbound lanes traffic embankment the truck went fence parking lot struck parked vehicle knocking office building also hit building came stop employee sustained serious head internal injuries died hospital employee received lacerations bruises leg arm treated released hospital
2,on september employee moving water truck across road never got across graded lot area the truck rolled hill employee attempted jump truck moving the truck struck ditch started lean threw employee running board truck standing the truck rolled landed pinned ground truck fatally crushing
2,on april employee hansen design specialty flooring performing maintenance storm drain fatally struck motor vehicle
2,on january employee tasked sweep clean new streets residential construction sites the employee walking street talking cell phone project supervisor office as walked front large sterling dump truck truck driver released brakes truck moved forward running employee crushing left foot the employee hospitalized left foot amputated
2,on january employee driving terex articulating dumper golf cart path lost control vehicle thrown jumped cab the dumper overturned became caught roll bar employee crushed killed the dumper equipped seat belt
2,on june employee driver driving loaded dump truck mcardle grading company he taking load dirt dump site while traveling state street omaha nebraska swerved miss hitting car stopped turn right onto street employee went road causing truck flip side the dump truck slid intersection hitting employee nebcon inc the employee nebcon pronounced dead scene the dump truck also hit another truck stopped intersection turning employee lacerated left side head left eye lid left underarm employee also mild concussion employee lacerations head underarm required stitches hospitalized
2,at approximately october employee working highway construction project employee shoveling loose gravel along elevated bridge along interstate highway he working within tapered area approximately feet placement first traffic cone policemen directing traffic merged one lane two lanes a drunk driver traveling tapered area lost control vehicle veered lane closure striking killing employee emergency services called employee pronounced dead
2,at approximately november employee road worker performing roadway repair a drunk driver drove vehicle barricades struck killed employee
2,on september employee construction zone taking temperature core samples asphalt highway drunk driver turned construction zone side street the drunk driver knocked several traffic control cones striking employee he dragged approximately ft becoming dislodged vehicle the driver stopped momentarily drove high speed vehicle struck side compactor construction zone employee transported local hospital pronounced dead upon arrival at time report written accident remained investigation
2,on june employee coworkers work zone northbound lanes interstate an alleged drunk driver drove work area killing employee injuring coworker
2,employees road repair drunken truck driver hit second truck both trucks went barricade struck employees employees killed employee hospitalized
2,employee ball ball brosamer performing work center divider freeway night two freeway lanes side divider closed properly marked lighted an automobile driver swerved across three lanes striking concrete center divider employee employee suffered massive head internal injuries he killed the driver subsequently charged dwi manslaughter
2,at april employees putting traffic warning signs southbound lane long beach freeway they near pickup truck parked highway left shoulder a drunk driver hazardously changed lanes crashed ford bronco parked truck striking employees employee killed instantly employee died approximately two hours later the drunk driver cited california highway patrol no violations observed
2,employees installing rubber compression seals expansion joints concrete pavement interstate highway another road merged highway second inside lane leaving two lanes blocked traffic traffic control devices warning signs lighted arrow boards barricades controlled traffic flow protected employees a vehicle entered ramp high speed struck several barricades hit parked pickup truck used extra safety precaution hit two employees rolled several times hitting inside median barrier wall the driver killed blood test indicated blood alcohol level almost times legal limit employee killed employees hospitalized
2,on june at pm employee was flagging traffic at avenue north and penman road while flagging the traffic at the north end of penman road he was he was standing outside the flashing barricade as employee turned his back to look at the other flagman a car started to go around him and the flashing barricade the car struck him in the back causing him to fall across the hood his head struck the car windshield when the car driver braked the car skidded feet throwing employee off the car and onto the pavement the car driver was charged with driving while intoxicated the flagman died at vincents hospital on june
2,on at pm employee was tending an asphalt surfacing machine when he was struck by a motor vehicle the driver of the vehicle was arrested for driving under the influence of alcohol and additional charges
2,on march employee coworker par electrical contractors engaged construction electrical transmission line they riding vehicle atv dirt road foothills outside boulder creek ca it last trip end day the atv rolled workers ejected employee sustained serious unspecified fracture required hospitalization coworker driver uninjured subsequently investigated an examination employer black box atv revealed atv driven excessive speed higher speed trip day in addition neither employee coworker using seat belt
2,on october employee employed construction company driving water truck construction site he wearing seat belt the truck rolled deep embankment rolled landed upside employee seriously injured he transported hospital admitted treated fractured lumbar disk
2,employee using tractor driving embankment back tire dropped embankment causing tractor roll trapping crushing employee tractors left rear tire employee survive injuries
2,in october male operating heavy construction vehicle earth compactor slid adjacent embankment the driver wearing seat belt ejected vehicle however momentum roller element tipped crushing pinning driver the cause death listed asphyxia
2,on june employee working peterson brothers construction operating buggy slope experienced brake failure smashed bucket wall employee ejected buggy injured left knee the accident reported dosh division occupational safety health june no details provided original abstract
