summary,1,2,3
a carpenter was installing aluminum siding on a residence he had climbed an aluminum ladder to install the siding at the peak of one side of the house he lost his balance and in falling grabbed the electric service conductors the carpenter was electrocuted,0,1,0
on june employee working rented aerial device cell tower employee completed project driving lift gravel road predetermined site employee properly tied basket feet ground for unknown reasons lift left roadway causing employee bounce around inside basket employee sustained serious lacerations left lower leg employee transported nearby hospital remained several days receiving treatment large avulsion tissue left tibia severe laceration right knee,1,0,0
employee fell ladder lead assembly used set pilings employee fell struck fell water bottom coffer dam he hospitalized,1,0,0
employee removing pipe stem horizontal drill pipe employee used pipe wrench connection hold pipe stem place the job site foreman released end employee stepped pipe remove pipe wrench undetermined reasons pipe rotated the pipe wrench still attached struck employee head killed,0,0,1
employees engaged construction cooling tower new combined cycle power plant it second day erection process cooling tower bentlines structural elements cooling tower eighteen bentlines erected collapsed possibly due high wind gusts associated oncoming storm at time accident employees working various elevations around structure they tied rode bentlines collapsed all three workers sustained fractures injuries hospitalized,1,0,0
at approximately august employee cutting rafter tails flat roof covered outside walkway school undergoing renovations summer the ft ft rafters notched bottom cleared metal beam employee standing end rafter cut rafter broke notch fell ft ground employee suffered fractured pelvis three fractured ribs hospitalized he wearing safety harness lanyard tied lifeline,1,0,0
at approximately october employee working alone removing improperly located floor trusses fourth floor apartment building construction the building wooden construction fourth floor trusses chord web trusses inch vertical dimension the employee lost balance falling approximately ft ground the employee transported local hospital later died injuries,1,0,0
at approximately august employee carpenter foreman cutting ft ft piece wood skil saw as operating saw wood struck blade kicked back his left thumb contacted blade lacerated employee transported hospital received medical care released,0,0,1
at approximately august employee three coworkers removing last six ft ft glass windows front office building mountain view ca they wearing gloves using tools employee standing behind one coworkers coworker bent removed hands bottom one windows employee heard glass crack saw split middle realized falling toward coworker neck employee thrust right arm protect coworker glass lacerated forearm including tendons another coworker hearing glass crack turned see happened called the fire department responded employee transported ambulance el camino hospital underwent surgery this report written days accident at time employee little movement thumb none little finger his physician taken work scheduled physical therapy arm hand,0,0,1
on october employee foreman carpenter employed pacific paving stone involved construction work private residence pasadena ca the work included hardscape design construction employee course performing normally assigned activity constructing pergola residence he cutting piece douglas fir wood dewalt table saw blade inches serial number he making cheek cut piece wood measured inches inches inches the table saw unguarded employee held piece wood vertically hands pass wood blade his left middle finger made contact unguarded blade his finger lacerated bone injured employee hospitalized huntington memorial hospital two days he underwent surgery pin placed finger on october employer controller made late report during investigation employee interviewed said believed finger cut saw blade hit knot wood caused wood kick the investigation determined preventable event caused use unguarded table saw failure use suitable jig performing cheek cut the following citations issued employer regulatory failure timely report serious accident general b failure survey construction site hazards serious unguarded table saw serious accident related no jig used cheek cut,0,0,1
employee independent contractor construction site trying stand end wall the wall heavy one person bumped ceiling pipe raised lost control the wall fell employee sustained compressed disc back,0,0,1
on december employee grader bulldozer operator operated bulldozer construction worksite performed excavation work employee operated bulldozer side degree slope the bulldozer flipped backwards three times employee ejected bulldozer second flip landed slope the bulldozer landed tracks base slope the engine bulldozer still running the bulldozer continued backwards ft coming stop middle pond employee suffered concussion died injuries,1,0,0
at approximately july employee male electrical electronic equipment assembler wilson construction company killed made contact unspecified high voltage,0,1,0
on september employee performing maintenance work inside tank empty rural water tower while exiting tank used ladder suspended access hole the employee fell ten feet although shock absorber lanyard fall protection activated struck floor water tank killed,1,0,0
employees rigging preparing lift ft long gin pole type derrick order dismantle ft cable television communications tower the gin pole raised top tower means wire rope hoisting equipment winch block the top block rigged secured tower point ft top means unmarked synthetic web chocker the gin pole secured winch line employees tied pole order ride load work location employee tied approximately ft pole employee tied bottom when gin pole raised approximately ft tower chocker securing top block failed gin pole load fell ground employee thrown safety belt due shock fell ground he killed instantly employee rode load ground suffered multiple fractures,1,0,0
on december employee young rubicam walked passenger elevator building worked suddenly elevator ascended without warning doors still open employee caught elevator wall elevator shaft employee crushed result died,0,0,1
on december employee construction laborer involved demolition small house he struck head cement block wall collapsed cleanup operations employee killed,0,0,1
on january employee operating jlg aerial lift came contact steel he crushed lower chest area died injuries,0,0,1
at approximately october employee trying straighten sign using the jolted attempting release severed employee finger employee treated injury hospitalized,0,0,1
employees hoisted ft telecommunications tower replace antenna parts damaged tower struck lightning they raised nylon rope load line using friction winch employee attached load line pelican clip attached seat strap small clevis tree saddle safety belt the pelican clip run loop end rope load line employee attached loop center clip short rope safety lanyard replacement antenna parts the remaining clips attached waist full body harness the rope load line routed tower mckissik top block pulley face tower two pieces climbing rope height approximately ft the nylon load line routed back tower heel block pulley attached near base the free end wrapped around cathead capstan hoist bolted left rear wheel small truck wheel jacked ground with pickup truck idling employee manually pulled free end rope hoisting employees tower the two employees height approximately ft pickup engine apparently stalled when coworker tried restart engine friction lost rope load line capstan hoist drum causing employees fall they struck guy height ft managed ride ground employee killed employee suffered fractured back fractured jaw fractured ribs internal injuries employee sustained severe rope burns hands trying stop rope,1,0,0
on september employee electrocuted crane boom truck contacted volts power line,0,1,0
a beam hoisted mobile crane rigging failed clamp came loose the beam fell approximately ft ground striking employee employee transported hospital died,0,0,1
at approximately february employee working communication tower lowering cell phone antennas the antenna slid horizontal bracket severed employee left ring finger,0,0,1
at approximately february employee supervisor competent person onsite tunneling done joint venture sewer project city of cartersville bartow county he packing straw around east end tunnel plate the top unprotected end tunnel collapsed buried employee head neck mud top tunnel plate coworkers attempted rescue employee however unsuccessful pronounced dead site,0,0,1
a plumber helper grounding electrical enclosure mounted exterior residential garage the enclosure meter box made federal pacific model serial no mounted inches ground the employee installed copper rod grounding electrode attached awg uninsulated conductor as molding wire contour building end conductor snaked way box cover hinge slot contacted meter bus the employee received electric shock emergency medical services checked employee advised see doctor the employee subsequently admitted hospital injury the employee instructed carry task local building inspector,0,1,0
at january employee v development dba capital builders coworker installing railings perimeter sides straps third floor building number ongoing construction residential buildings while nailing strap section floor noticed nails hitting fastening joist employee coworker informed another coworker lead carpenter situation the lead carpenter took employee coworker second floor showed together joist place when lead carpenter left employee told coworker employee wanted install joist could finish job employee stepped mid rail guardrail blocking stairwell gain elevation employee could measure coworker would install missing joist while coworker went get measurement joist install mid rail employee stepped became unsecured came moving outward direction this caused employee lose balance employee fell concrete floor employee taken hospital remained hospitalized writing narrative employee hospitalized serious head injuries,1,0,0
at approximately january employee trainee coworker arrived construction site pump concrete they construction site blocks away truck parked ft away parallel power line while waiting concrete truck arrive employee told coworker sitting driver side truck going set outriggers truck after place employee began unfolding boom struck overhead power line the coworker seeing truck fire got began walking rear vehicle he told employee standing top truck struck power line employee dismounted joined coworker back truck at point tried enter vehicle electrocuted,0,1,0
at approximately november employee technical resource center santa ana ca contracted dci electric working warren e p petroleum reclamation site wilmington ca at time accident working backside micro turbine switchgear box controlled vertical pumps reclamation site employee passing control wires front box back wiring accidentally touched energized part became frozen buss a coworker dislodged employee called employee given cpr site transported kaiser harbor general hospital admitted treatment he recovered discharged next evening,0,1,0
employee attempting locate seepage pit utilizing drill rig also known bucket machine employee drilling test hole shackle used hold cable end dumping arm broke causing kelly bar fall employee sitting operating seat time the bucket upward stroke shackle broke causing wire rope loosen swung bucket toward employee knocking as employee hit bucket lost control rig causing kelly bar fall amputating legs knee cap employee hospitalized,0,0,1
on december employee coworker replacing circuit breaker energized switchboard they energized busbar causing arc flash fire employee suffered burns face hand approximately percent body sustaining burn injuries although working live distribution panel insulated gloves insulated tools suitable barriers approved insulating materials use time accident,0,1,0
employee dismantling scaffolding delayed coker unit fell ft within cell cooling tower he landed ft water base drowned,1,0,0
on october employee roofer carrying bucket hot asphalt walked along roof the bucket struck portion building lost balance as fell hand plunged bucket asphalt employee sustained serious burn hand hospitalized,1,0,0
at approximately august employee became ill working eight hour shift employer employee transported family members local health care facility following day admitted employee suffering acute renal failure rhabdomyolyis due heat stroke employee remained local hospital four days released,0,1,0
at october employee iron worker sanders construction installing roof panels prefabricated metal building he crossing apex roof stepped unsupported leading edge one panels collapsed employee fell ft ft opening apex purlin next purlin landing concrete floor he transported kern medical center bakersfield ca treatment fractured skull fractured vertebrae fractured wrist,1,0,0
employee painting dormer fell approximately three stories ladder onto porch roof employee bounced roof fell ground employee sustaining broken ribs complained paralysis waist suffered facial injuries employee hospitalized,1,0,0
on june employee working trench measuring approximately ft ft deep he installing rebar retaining wall employee drilling holes bedrock unprotected walls collapsed without warning employee killed,0,0,1
on july employee precision walls charlotte nc working building construction site he walking stairway third floor second floor he fell concrete stairs landing the employee transported carolinas medical center cmc main treated released day the employee told doctor experienced leg cramp fell,1,0,0
while working within mezzanine plenum structure employee fell ft hatchway door opening landing bottom shaft he killed,1,0,0
on march employee working scaffold installing metal siding employee fell approximately scaffolding collapsed employee suffered unknown injuries result fall,1,0,0
on june employee ugstad plumbing rolled company van onto two ramps attempted fix squeaky universal joint after joint disconnected van rolled ramps crushed employee employee killed there witnesses accident he discovered fergus falls police department,0,0,1
on february employee working construction laborer wrecking demolition contractor he working elevator machinery room basement building an exhaust vent leading machinery room covered fireproofing one piece fireproofing approximately feet wide feet long weighed approximately lbs consisted two layers thick x gypsum board one layer thick shaft liner gypsum board the fireproofing stenciled hr fire smoke barrier one pieces fell employee killing,0,0,1
on february employee working employer roofing contractor employee located roof moved load insulation wheeled cart across roof there two units insulation load unit weighed approximately pounds employee pulled cart cart tipped forward cart striking employee one units pinned employee roof employee suffered fractured neck hospitalized treatment injury,0,0,1
on july employee emptying bucket concrete dumpster the bucket slipped pinching left hand bucket dumpster employee third finger left hand amputated first knuckle hospitalized,0,0,1
on october mailbox brick base hoisted using small trackhoe bucket attached the mailbox base suspended nylon slings connected tooth bucket one slings attached middle tooth bucket slipped brick mailbox base weighing pounds struck employee breaking leg,0,0,1
on april employee foreman coworker removing transformers former power plant mezzanine level south end turbine building turbine number mezzanine number the transformers weighed approximately pounds they located drawers adjacent staircase there two aisles sides staircase approximately wide however aisle adjacent transformers partially blocked electrical box sticking approximately aisle staircase side phone booth floor protruded approximately aisle employee decided push transformer obstructed aisle staircase landing opposed using two aisles unobstructed employee wearing hard hat hit head phone booth knocked unconscious seconds employee suffered compression cervical spine employee hospitalized undergo surgeries neck,0,0,1
on june employee concrete subcontractor working new residential construction project newport beach ca he standing fourth rung portable step ladder attempting secure shoring block pneumatic nail gun held head the employee leg became caught two rungs ladder caused left leg fracture the employee fell ladder emergency responders transported employee hoag hospital irvine ca hospitalized required surgery the employee employee subcontractor work temporary staffing agency notified accident june,0,0,1
on september employees were welding a cement slick line in a tunnel they were using a gasoline powered portable welder all five employees were hospitalized for carbon monoxide poisoning the air flow was insufficient air quality was not monitored there was no emergency equipment on hand and no emergency procedures established a system was not used,0,1,0
on september employee cen cal plastering involved traffic protection commercial building construction site he unhooking trailer truck left hand became caught trailer hitch truck hitch the trailer rolled pinched left hand first second fingers both fingers crushed emergency services called employee transported hospital admitted treated seven days event surgery performed amputate injured second finger lower knuckle,0,0,1
two employees relocating equipment associated wiring grocery store one employees standing desk working task contacted conductor he received electric shock fell desk landing floor still gripping conductor his coworker nearby aerial lift heard moan he found injured employee unconscious floor the coworker kicked away conductor started resuscitation however injured employee died electrocution,0,1,0
on october employee operating crane controls national series hydraulic crane the controls located directly behind driver side carrier cab a coworker aligning jib stow pins could installed only one pin secured jib boom the bracket jib secured stow hook boom pin secures top flange boom retaining bar engaged bottom operating pin removed leaving top operating pin secure boom the boom positioned negative angle degrees tag line use the jib fell striking employee head killing,0,0,1
at approximately september employee truck driver watching forklift loaded drill collar onto truck as forks removed one caught end collar it rolled truck pulling employee he struck drill collar suffered fractured right leg elbow multiple cuts bruises a coworker site drove employee local hospital,0,0,1
on march employee descending werner aluminum extension ladder type eave edge house ladder retracted causing fall the employee fractured skull eight ribs the primary cause accident appears failure ensure locking device secured ladder positioned side house,1,0,0
an electrical contractor installing new equipment jobsite for preceding week electrician working contractor years installing hydraulic pump he entered deep pit shift started complete wiring pump about minutes shift found unconscious coworker the injured employee head bleeding safety glasses floor he apparently wearing hard hat the electrician suffered blunt head trauma potential concussion he hospitalized loss consciousness memory loss double vision a tarp corner falling towards pit found covering opening pit heavy steel plates place morning accident tarp used,0,0,1
at approximately december employee coworker electrical engineers employed web electric working retail store they assigned repair broken heater store rear storage room employee site previous day december review scope assignment material involved employee coworker replaced electric contact heater employee went check volt westinghouse fusible distribution panelboard fdp category panelboard unit store electrical cage located separate room adjacent storage room make sure heater could energized the panelboard unit measuring approximately inches tall inches long installed along panelboard units approximately feet concrete grade the panelboard unit contained shutoff switch front side dead front panel disconnect interior front fuse panel live busbar energized panel interior rear panel unit employee turned volt amp fdp switch position opened dead front expose amp fuses panel after visual inspection interior panelboard unit employee metered fuses panel ensure fuse panel energized he determined two three fuses inoperable needed replacement employee removed fuses insulated fuse puller he wound electrical meter took gloves the door panelboard swung almost closed position sat slightly ajar approximately inches before starting toward vehicle retrieve two new fuses employee reached shut electrical panel door store employees would exposed electrical hazard gone as employee shut panel door live fdp panelboard unit approximately inches fdp employee working previously opened dead front one arc flashes the flashes blew top dead fronted fdp causing irreparable blast burn damage the interior fdp burn marks small section panel door employee seriously burned he also experienced brief blindness due flash coworker standing side approximately feet panel unit also experienced brief blindness otherwise uninjured emergency services called employee transported admitted tuomey hospital subsequently transferred emergency transport augusta burn center he treated second third degree burns hand forearm south carolina osha subsequent investigation determined employee wearing ansi class volt electrical gloves fire resistant shirt safety glasses working although noted removed gloves shortly arc flash event,0,1,0
at approximately july employee supervisor cutting piece plywood skilsaw saw model number the saw kicked back amputated third forth fifth fingers left hand employee hospitalized treat amputations prior accident employees examined skilsaw use employee the employees discovered saw guard defective it appeared guard frozen cement dried sludge could protect employee blade,0,0,1
at approximately march employee working east side supervisor opposite side after completing second last sprinkler head employee went plank catwalk moved right finish last sprinkler head the catwalk ground the employee usually plank top dryer cylinder needed advance next sprinkler head could point succeeding top dryer cylinder already removed coworker the employee instead tried place plank top two lower dryer cylinders plank could safely secured so employee decided remove plank ask supervisor access safely last sprinkler head when pulled first time plank stuck little bit tried exert effort the plank suddenly came causing employee lose balance fall red danger tape place standard guardrail removed the employee suffered broken ribs collar bone result fall required two days hospitalization eden medical center castro valley,1,0,0
at approximately may employee traffic signal technician repairing pedestrian signal box approximately feet ground he working alone found passerby street front work truck he suffered blunt force trauma back head going consciousness he transported emergency services stanford hospital hospitalized he transferred rehabilitation center specializes brain injuries there eye witnesses accident further investigation revealed employee working street level using chain wrench piece rigid pipe breaker bar adjust signal framework it believed likely cause accident employee using breaker bar chain wrench trying get leverage slipped lost balance fell backward curb hit head street there portable lift bucket attached employee work truck bucket located approximately inches sidewalk however appear victim lift accident occurred,1,0,0
a power line supervisor working meters ground utility pole he using gas drill install step bolts pole he installed several steps repositioned drill hole next step as positioned right foot gaff penetrate surface pole causing employee lose balance fall onto wooden picket fence he hospitalized torn spleen,1,0,0
on august employee working operator backhoe firm constructed highways streets he climbed idling caterpillar backhoe complete task ground when returned backhoe operator approached backhoe back he positioned backhoe boom outrigger could put saw floor cab as set saw came contact pedal activating boom as boom swung side employee became pinned outrigger boom the employee able lift saw pedal lift swing boom back away sustaining multiple fractures the employee hospitalized,0,0,1
on september employee using carpenter wall scaffold install roof shingles bottom one carpenter brackets punctured wall fastened the scaffold overturned employee fell ft ground employee sustained injuries hospitalized,1,0,0
on july employee eagle iron erectors steel fabricating installation company crew assembling stairway rooftop heliport building a guard rail positioned tower crane crew fastening place when rail became stuck employee released fall protection lanyard investigate problem as worked correct problem rail suddenly moved employee lost balance fell ft concrete deck his hospitalized fractures right lower leg left ankle left elbow lumber vertebra,1,0,0
at approximately july employee vacuuming platform measuring feet feet located base pier rafael bridge the bridge seismically retrofitted a nearby employee lowering pound jacking frame height feet using winch model hu serial no the winch manufacturer required unit gear operation however employee used brake the load stop crashed platform floor creating hole approximately feet feet the employee platform fell hole struck head structural steel fell bay the employee killed,1,0,0
on august employee coworkers moving crane another location as crew stowed crane jib fell struck employee he suffered traumatic injuries killed,0,0,1
on november employees working new section utility tunnel university utah campus a power failure high temperature water plant caused valve open release water heated temperature degrees fahrenheit steam traveled throughout old new sections tunnel system burning employees employees hospitalized the others treated minor burns,0,1,0
two employees sign repair firm erecting first two poles support gasoline service station sign the pole contacted power line one employee electrocuted guiding base post onto base bolts the employee electrocuted shoulder contacted one truck outriggers assisting employee,0,1,0
at approximately april employee working aerial lift jlg model number serial number approximately feet ground welding steel bracing ceiling commercial building construction a coworker noticed employee seemed moving blue face employee lowered ground resuscitation started unsuccessful employee pronounced dead scene apparently due caught aerial lift brace the aerial lift later tested problems identified control stick controlled upward movement boom the control stick would stop movement boom released slowly required manufacturer examination control stick found hardened compacted granular material built centering ring spring prevented control stick centering there also absence grease lubricant centering ring spring once granular material removed control stick functioned properly self centered,0,0,1
on may two employees working borg fence decks arrived residence burlingame ca build new backyard fence at approximately employee stood top ladder holding dewalt circular skill saw model left hand order cut top post this employee held small bush branch right hand pushing way post the small bush branch either blown one direction sprung back original position employee let go branch right hand at instant dewalt circular skill saw kicked back bounced pole top cut direction employee right hand cutting fourth finger the dewalt circular saw model approximately two years old guards owned employee,0,0,1
at approximately saturday november five employees arrived work site no contractors site the lead employee dropped two employees infield track instructed remove word concrete forms they provided hammers pry bars a hammer drill available use container two employees dropped top track instructed remove braces wall forms the lead employee went get forklift help remove wall form braces stopped check first two employees return trip the company employees trained certified operate forklifts equipment used however first two employees authorized use equipment one first two employees decided use case backhoe model number identification number owned another company site remove concrete overflowed forms he key fit piece equipment previous jobsite the employee employee motioned employee backhoe position backhoe arm remove concrete the employee operating backhoe turned around seat left foot hit control caused bucket swing left employee pinned outrigger stabilizer arm still position killed the lead employee aware backhoe use visual contact working position no violations osha standards identified citations issued,0,0,1
at approximately february employee supervisor two coworkers using scaffolding setting blocks new construction building sewer treatment plant the equipment used scaffolding the scaffolding crank type scaffolding the scaffold planks placed support brackets hang employee walked past support bracket onto scaffold plank caused plank fall the scaffold plank fell walked northerly direction employee walking southerly direction plank slipped past support bracket caused employee fall ground employee fell crank scaffold assembly employee transported kern medical center bakersfield ca employee broke femur left leg falling the planks inspected prior use date incident two workers categorized competent persons trained experienced type scaffolding used employer,1,0,0
at approximately december serious accident occurred jobsite employee engaged drilling piles secant pile shoring system excavation on day accident employee set ladder casing order attach rigging forklift casing the ground day muddy half way ladder casing fell away it hit counterweight drill rig ended landing across left leg lower torso employee suffered crushed pelvis compound fracture left femur severed femoral artery torn colon,0,0,1
at approximately july employee male laborer statewide stripes applying hot asphalt adhesive traffic reflectors streets employee coiling securing hot asphalt application combination truck traveling next work location employee securing application gun hose hose reel hook front truck box could travel next work location while attaching nozzle support clip clip dislodged safety gun allowed movement trigger small shot hot asphalt extruded gun onto employee left arm employee wearing short sleeved cotton time used rag provided coworker wipe hot asphalt arm the coworker transported employee urgent care clinic first aid treatment employee transferred ucsd burn center hospitalized hours due serious burn injury left arm,0,1,0
at approximately february employee usual practice climbed top edge mortar mixer spray water onto stucco mixer the employee standing top edge gasoline powered mortar mixer fell moving paddles running the employee hospitalized nineteen days he sustained serious injuries requiring hospitalization surgery the mortar mixer guarded the employee work position appropriate task,0,0,1
at approximately july employee deome builders installing replacement window building a coworker placed two ladders planked section scaffolding access second story window opening install window the coworker used two ladders closed position leaning either side window opening employee coworker climbed ladders one employee began attach screws window frame scaffolding began fall away wall collapsing the coworker able jump clear collapsing scaffold employee remained ladder using slid wall fell face first landing top ladder collapsed scaffold parts hit ground emergency services called employee transported sutter roseville via helicopter treated four broken ribs right side right shoulder separation right ear laceration punctured lung employee hospitalized seven days released the employee readmitted additional seven days one week later treatment blood clot lungs employee scheduled begin occupational therapy evaluation determine whether surgery would required repair separated shoulder lung,1,0,0
